file,google_collab,kernel_lang,kernel_name,lang_name,lang_version,nbformat,nbformat_minor,num_cells,days_since,filesize,html_url,name,owner_id,path,query_page,repo_id,python_version,pushed_month,pushed_year
practicaldatascience..practicaldatascience.github.io..tutorial_final..223..PDS_Tutorial_final_2.ipynb,False,python,Python 3,python,3.6.3,4.0,2.0,76.0,206.09942362202545,3578663..3596601,https://github.com/practicaldatascience/practicaldatascience.github.io/blob/3254b96e91f0d7ca7098c26dba66110654893b22/tutorial_final/223/PDS_Tutorial_final_2.ipynb,PDS_Tutorial_final_2.ipynb,35235199,tutorial_final/223/PDS_Tutorial_final_2.ipynb,4,117289155,3.6,5,2018
yandexdataschool..cms-dqm..notebooks..shap-new.ipynb,False,python,Python 3,python,3.6.2,4.0,1.0,49.0,206.09942362202545,3578663..3596601,https://github.com/yandexdataschool/cms-dqm/blob/bc2029114af7cf173039de66e12126c2abf65bd8/notebooks/shap-new.ipynb,shap-new.ipynb,13419363,notebooks/shap-new.ipynb,4,53322822,3.6,8,2018
hornet4680..boktensorflow..handson-ml-master..08_dimensionality_reduction.ipynb,False,python,Python 3,python,3.5.5,4.0,1.0,192.0,206.09942362202545,3578663..3596601,https://github.com/hornet4680/boktensorflow/blob/2726d2213eae9ebbd6ff27cf611af2cfc8d6b86c/handson-ml-master/08_dimensionality_reduction.ipynb,08_dimensionality_reduction.ipynb,12411717,handson-ml-master/08_dimensionality_reduction.ipynb,4,141970801,3.5,7,2018
romain-lopez..scVI-reproducibility..HEMATO-filtered.ipynb,False,python,Python 2,python,2.7.12,4.0,2.0,46.0,206.09942362202545,3578663..3596601,https://github.com/romain-lopez/scVI-reproducibility/blob/1e663061b14eca6e3a8a415337b97b8b26565463/HEMATO-filtered.ipynb,HEMATO-filtered.ipynb,21249167,HEMATO-filtered.ipynb,4,125294792,2.7,12,2018
jartantupjar..7-Distracted-Driver-Detection..Solution 3 - K-fold Implementation.ipynb,False,python,Python 3,python,3.6.1,4.0,2.0,20.0,206.09942362202545,3578663..3596601,https://github.com/jartantupjar/7-Distracted-Driver-Detection/blob/479fb4ee58370414044f4667696509dc26f58079/Solution%203%20-%20K-fold%20Implementation.ipynb,Solution 3 - K-fold Implementation.ipynb,19889070,Solution 3 - K-fold Implementation.ipynb,4,109240588,3.6,3,2018
Soso-Sukhitashvili..Pytorch_Homeworks..Generate_Music_LSTM.ipynb,True,python3,Python 3,python,3.6,4.0,0.0,34.0,206.0993903794676,15616840..15946462,https://github.com/Soso-Sukhitashvili/Pytorch_Homeworks/blob/d0aafd14833416234b434b7cd2de44d0d0214794/Generate_Music_LSTM.ipynb,Generate_Music_LSTM.ipynb,41641674,Generate_Music_LSTM.ipynb,1,174695273,3.6,5,2019
cmougan..AccentureMedicalDatathon2019..first_sub_2-Copy1.ipynb,False,python,Python 3,python,3.6.8,4.0,2.0,39.0,206.0993903794676,15616840..15946462,https://github.com/cmougan/AccentureMedicalDatathon2019/blob/8bf2c9b4dbf9fb9f3e67e08ae8930548df4e8d2c/first_sub_2-Copy1.ipynb,first_sub_2-Copy1.ipynb,43068386,first_sub_2-Copy1.ipynb,1,187819172,3.6,5,2019
Swaraj-Mohapatra..river_detection_neural..Neural_Network_Satellite_Image.ipynb,False,python,Python 3,python,3.7.3,4.0,2.0,40.0,206.0993903794676,15616840..15946462,https://github.com/Swaraj-Mohapatra/river_detection_neural/blob/427d7a24ddbc80fee13cf8dd56b52ede4b2f165a/Neural_Network_Satellite_Image.ipynb,Neural_Network_Satellite_Image.ipynb,39368773,Neural_Network_Satellite_Image.ipynb,1,191929699,3.7,6,2019
mtk12..IBM-Data-science-capstone-project..Capstone-Project.ipynb,False,python,Python 3,python,3.7.1,4.0,2.0,119.0,206.0993903794676,15616840..15946462,https://github.com/mtk12/IBM-Data-science-capstone-project/blob/9cc8c4d795fbd560e65d617e1a48a54634d9377d/Capstone-Project.ipynb,Capstone-Project.ipynb,47303116,Capstone-Project.ipynb,1,197344294,3.7,7,2019
sh2439..pytorch_proj..Computer_Vision..Neural Style Transfer..Neural_Style_Transfer.ipynb,False,python,Python [conda env:root],python,3.6.8,4.0,2.0,23.0,206.0993903794676,15616840..15946462,https://github.com/sh2439/pytorch_proj/blob/a5b3633632919e8a9a80277b0c53544ebad447e7/Computer_Vision/Neural%20Style%20Transfer/Neural_Style_Transfer.ipynb,Neural_Style_Transfer.ipynb,31328949,Computer_Vision/Neural Style Transfer/Neural_Style_Transfer.ipynb,1,187680655,3.6,7,2019
