repo_id,owner_id,repo_description,repo_fork,repo_html_url,repo_name,repo_private,created_at,forks_count,has_downloads,has_issues,has_pages,has_wiki,language,open_issues_count,pushed_at,size,stargazers_count,subscribers_count,updated_at,watchers_count,pushed_month,pushed_year
187819172,43068386,"In the Accenture Health Datathon in 2019 we achieved 3rd place. The team was composed by Adria Fenoy, Lawrence Adu-Gyamfi , Lidia AlmenaraLa",False,https://github.com/cmougan/AccentureMedicalDatathon2019,AccentureMedicalDatathon2019,False,2019-05-21T10:54:54Z,0,True,True,False,True,Jupyter Notebook,0,2019-05-21 14:32:21+00:00,5452,0,0,2019-05-21T14:32:22Z,0,5,2019
197344294,47303116,,False,https://github.com/mtk12/IBM-Data-science-capstone-project,IBM-Data-science-capstone-project,False,2019-07-17T08:05:54Z,0,True,True,False,True,Jupyter Notebook,0,2019-07-17 17:15:21+00:00,2001,0,0,2019-07-17T17:15:23Z,0,7,2019
109240588,19889070,Using machine learning to detect distracted drivers. Project can be referenced to https://www.kaggle.com/c/state-farm-distracted-driver-detection,False,https://github.com/jartantupjar/7-Distracted-Driver-Detection,7-Distracted-Driver-Detection,False,2017-11-02T08:58:38Z,0,True,True,False,True,Jupyter Notebook,0,2018-03-23 10:40:48+00:00,97073,2,1,2018-10-19T11:40:21Z,2,3,2018
53322822,13419363,CMS data quality monitoring,False,https://github.com/yandexdataschool/cms-dqm,cms-dqm,False,2016-03-07T12:10:25Z,9,True,True,False,True,Jupyter Notebook,0,2018-08-09 04:20:07+00:00,42889,9,8,2018-12-11T22:05:22Z,9,8,2018
117289155,35235199,,False,https://github.com/practicaldatascience/practicaldatascience.github.io,practicaldatascience.github.io,False,2018-01-12T21:22:09Z,3,True,True,True,True,Jupyter Notebook,0,2018-05-11 14:10:44+00:00,794402,8,11,2019-04-14T03:37:00Z,8,5,2018
125294792,21249167,"Reproducing the experiments of the paper ""Deep generative modeling for single-cell transcriptomics""",False,https://github.com/romain-lopez/scVI-reproducibility,scVI-reproducibility,False,2018-03-15T01:20:21Z,11,True,True,False,True,Jupyter Notebook,0,2018-12-15 13:47:31+00:00,55697,24,3,2019-07-21T23:34:18Z,24,12,2018
187680655,31328949,This repo contains the machine learning projects implemented with Pytorch.,False,https://github.com/sh2439/pytorch_proj,pytorch_proj,False,2019-05-20T16:55:14Z,0,True,True,False,True,Jupyter Notebook,0,2019-07-30 15:23:16+00:00,46013,1,0,2019-08-01T15:54:46Z,1,7,2019
141970801,12411717,,False,https://github.com/hornet4680/boktensorflow,boktensorflow,False,2018-07-23T06:25:21Z,0,True,True,False,True,Jupyter Notebook,0,2018-07-31 14:29:59+00:00,42036,0,1,2018-07-31T14:30:03Z,0,7,2018
174695273,41641674,My pytorch exercises in Deep learning,False,https://github.com/Soso-Sukhitashvili/Pytorch_Homeworks,Pytorch_Homeworks,False,2019-03-09T13:02:46Z,0,True,True,False,True,Jupyter Notebook,0,2019-05-03 17:51:29+00:00,26148,0,0,2019-05-03T17:51:30Z,0,5,2019
191929699,39368773,,False,https://github.com/Swaraj-Mohapatra/river_detection_neural,river_detection_neural,False,2019-06-14T11:10:39Z,0,True,True,False,True,Jupyter Notebook,0,2019-06-14 11:19:23+00:00,4271,0,0,2019-06-14T11:19:25Z,0,6,2019
