size,number
2500,1421
5000,479583
7500,409755
10000,322566
50000,252561
60000,677986
70000,392865
80000,273332
90000,209608
100000,159518
110000,123415
120000,111821
130000,93788
140000,81434
150000,76846
160000,65011
170000,60294
180000,54491
190000,51736
200000,52057
210000,45192
220000,41824
230000,39153
240000,38416
250000,35305
270000,32879
280000,29585
290000,27761
310000,25136
330000,21912
340000,21524
360000,24357
370000,21768
380000,19557
400000,18638
410000,17145
430000,18437
440000,15374
460000,14787
470000,14429
480000,12680
490000,12224
500000,13970
510000,12162
520000,11245
530000,12289
540000,10656
550000,10430
560000,9922
570000,10084
580000,10610
590000,8564
600000,9231
610000,9010
620000,9412
630000,10118
640000,7959
660000,7665
670000,7527
680000,7124
690000,6650
700000,6575
710000,6481
720000,7226
730000,7746
740000,6097
750000,8186
760000,5530
770000,5669
780000,5909
790000,5696
800000,5962
810000,6994
820000,5555
830000,5957
840000,5035
850000,5033
860000,6912
880000,4613
890000,4950
900000,6074
910000,4639
920000,4512
930000,4289
940000,4161
960000,4150
970000,4029
980000,3726
990000,3879
1000000,3499
1010000,3393
1020000,3334
1030000,3471
1040000,4896
1050000,3136
1060000,3085
1070000,3209
1080000,3324
1090000,3111
1100000,3374
1110000,3156
1120000,4456
1130000,3081
1140000,2910
1150000,2874
1160000,2628
1180000,2967
1190000,3298
1200000,2697
1210000,2594
1220000,3629
1230000,2585
1240000,2684
1250000,2503
1260000,2403
1270000,2445
1280000,2377
1290000,2277
1300000,2119
1310000,3522
1320000,2399
1330000,2335
1340000,2003
1350000,2161
1360000,0
1380000,1825
1390000,2041
1400000,2145
1410000,1766
1420000,1811
1430000,1841
1440000,2585
1450000,1817
1460000,1977
1470000,1817
1490000,1948
1500000,1827
1510000,1740
1520000,1774
1530000,1725
1540000,1616
1550000,1671
1560000,1552
1580000,3030
1590000,1525
1600000,2071
1610000,1609
1620000,1523
1630000,1444
1640000,1474
1650000,1321
1660000,1562
1670000,1503
1680000,1524
1690000,1305
1700000,1324
1710000,1384
1720000,1358
1730000,1425
1740000,1513
1750000,1346
1760000,1233
1770000,1427
1790000,1547
1800000,1347
1810000,1369
1820000,1256
1830000,1310
1840000,2189
1850000,1298
1860000,1211
1870000,1312
1880000,1116
1900000,1878
1910000,991
1920000,1150
1930000,1222
1940000,1258
1950000,1127
1960000,1096
1970000,1753
1980000,2177
1990000,1287
2010000,1039
2020000,1019
2030000,1104
2040000,988
2050000,1206
2060000,1237
2070000,952
2080000,1052
2090000,1558
2100000,914
2110000,894
2120000,974
2130000,997
2140000,931
2150000,1221
2160000,959
2170000,938
2180000,1093
2190000,958
2200000,1014
2220000,835
2230000,789
2240000,778
2250000,832
2260000,752
2280000,729
2290000,773
2300000,797
2310000,768
2320000,744
2330000,717
2340000,834
2350000,814
2360000,866
2370000,732
2380000,848
2390000,842
2400000,726
2410000,735
2420000,809
2430000,731
2440000,723
2460000,684
2470000,749
2480000,706
2490000,722
2500000,848
2510000,663
2520000,720
2530000,655
2540000,733
2550000,741
2560000,1127
2570000,733
2580000,759
2590000,690
2600000,663
2610000,708
2620000,666
2630000,637
2650000,604
2660000,617
2670000,670
2680000,609
2690000,577
2700000,551
2710000,558
2720000,668
2730000,1332
2740000,705
2750000,1399
2760000,552
2770000,555
2780000,857
2790000,522
2800000,510
2810000,511
2820000,511
2830000,513
2850000,488
2860000,481
2870000,575
2880000,573
2890000,581
2900000,518
2910000,429
2920000,507
2930000,492
2940000,496
2950000,482
2960000,483
2970000,481
2980000,479
2990000,451
3000000,432
3010000,395
3020000,425
3030000,486
3040000,499
3060000,479
3070000,481
3080000,471
